year,scenario,industry,so2,nox,pm,so2rr,noxrr,pmrr
2035,CCUS2,others,12509514.2,8852195.202,7543378.269,2.095476596,0.959988386,1.438355354
2040,CCUS2,others,10911573.66,7715084.268,6581691.586,1.827804571,0.836672839,1.254982979
2050,CCUS2,others,6648542.986,4674730.864,4018081.778,1.11370162,0.506957566,0.766159303
2060,CCUS2,others,1419067.55,949704.0212,871927.4072,0.237708898,0.102991948,0.166257267
2014,CCUS2-NET1,power,4502140,5894229,1121010,2.459556866,1.407889581,1.170289886
2020,CCUS2-NET1,power,4719053.674,6178213.698,1175020.404,2.578058627,1.475721879,1.226674601
2025,CCUS2-NET1,power,4744388.343,6211382,1181328.607,2.591899169,1.483644426,1.233260115
2030,CCUS2-NET1,power,4588771.069,6007646.921,1142580.696,2.506884146,1.434980471,1.192808835
2035,CCUS2-NET1,power,4168670.575,5457648.805,1037977.806,2.27737972,1.303608477,1.083607576
2040,CCUS2-NET1,power,3627327.185,4748918.755,903186.051,1.981639283,1.134321933,0.94289034
2050,CCUS2-NET1,power,2173730.031,2845860.544,541247.7405,1.187526959,0.679759373,0.565041129
2060,CCUS2-NET1,power,396986.1874,519736.7248,98847.54492,0.216876886,0.124143789,0.103192908
2014,CCUS2-NET1,others,13464688,9538998,8116119,2.255478361,1.034469652,1.54756434
2020,CCUS2-NET1,others,14113418.37,9998588.129,8507154.639,2.364147594,1.084310531,1.622126186
2025,CCUS2-NET1,others,14189187.54,10052266.46,8552826.072,2.376839735,1.09013175,1.630834718
2030,CCUS2-NET1,others,13723778.19,9722549.287,8272290.968,2.298878722,1.054375122,1.57734288
2035,CCUS2-NET1,others,12547266.46,8882221.652,7565157.779,2.101800501,0.963244645,1.442508224
2040,CCUS2-NET1,others,11121308.46,7881897.868,6702688.886,1.862937379,0.854763167,1.278054487
2050,CCUS2-NET1,others,7697216.986,5508798.964,4623068.178,1.289365662,0.597409219,0.881516825
2060,CCUS2-NET1,others,2677476.55,1950586.021,1597911.107,0.448505782,0.211533962,0.304686298
2014,CCUS2-NET2,power,4502140,5894229,1121010,2.459556866,1.407889581,1.170289886
2020,CCUS2-NET2,power,4719053.674,6178213.698,1175020.404,2.578058627,1.475721879,1.226674601
2025,CCUS2-NET2,power,4744388.343,6211382,1181328.607,2.591899169,1.483644426,1.233260115
2030,CCUS2-NET2,power,4588771.069,6007646.921,1142580.696,2.506884146,1.434980471,1.192808835
2035,CCUS2-NET2,power,4168670.575,5457648.805,1037977.806,2.27737972,1.303608477,1.083607576
